,CYCLE_ACTIVITY.STALLS_L3_MISS,EXE_ACTIVITY.2_PORTS_UTIL,OFFCORE_REQUESTS.DEMAND_DATA_RD,OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD,OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,cycles,instructions,timestamp,cumulative_instructions,interval_seconds,Actual_Slowdown,Local_Interval_Time,P,AOL,K_pred,AOL_Pred,ML_Pred,Heuristic_Pred
0,1094040502.9140694,601594231.6133109,32802025.190752205,1311375050.2731805,7659320521.053386,7290136094.662116,3859090942.075,3.342626018223131,3859090942.075,3.342626018223131,0.2822287584123835,2.6068874187175997,0.1500713414273751,39.97847823868184,1.9956467361872623,0.2994893827147854,0.27807415857342455,0.004027710472929677
1,1089225289.1898339,606380267.9518248,32742264.422465954,1298312545.9900947,7693460001.589335,7361750371.106191,3859090942.075,6.713592351273579,3859090942.075,3.3709663330504482,0.2840954551216136,2.6251680275055502,0.14795737892239408,39.65249712842901,1.9896623431111873,0.2943852252273204,0.2803190478684616,0.0039923762907204795
2,913501791.6386456,590905736.6171193,27569658.44679214,1119708551.123001,6402062421.610289,7330975570.7991905,3859090942.074999,9.570911953279301,3859090942.074999,2.857319602005722,0.3175077901315845,2.1687307076342606,0.1246084893908683,40.613798436566576,2.007133937888654,0.25010592800545006,0.2545540203512796,0.00406916799067284
3,1044699491.2734165,523790814.5577724,10510737.924473956,1351960685.3357162,3758129243.9889717,8334622764.895748,3859090942.075001,10.766145561982364,3859090942.075001,1.195233608703063,0.3025196701442742,0.9176319069106054,0.12534454416743887,128.62661927738813,2.6685092408855096,0.33448307440539254,0.27308711083234166,0.0036664398460779365
4,335859079.40930367,421436154.84701777,2896149.7740929723,444135624.571146,1085387847.1262665,3835998340.567379,3859090942.075001,10.986137796847405,3859090942.075001,0.21999223486504071,0.16001736953097984,0.1896456386286598,0.08755454241401654,153.35381772865742,2.7355793363530023,0.23951239703162616,0.2113471842271235,0.004888301908299031
5,102126100.98158646,429470451.4877758,1535903.947590679,158030306.1362362,392843124.59272385,3670296001.2164993,3859090942.074997,11.196631752784283,3859090942.074997,0.2104939559368777,0.020366521628575197,0.20629249536814953,0.027825031263891884,102.89074807323273,2.5707361505497195,0.07153081376026302,1.1120836325844785,0.0023831999986088526
6,146557050.10540295,573659131.9390516,1971609.3041045815,228901162.59698582,592259598.443203,4801252164.539169,3859090942.075001,11.491941891704084,3859090942.075001,0.29531013891980074,-0.021063200017881496,0.30166415127635915,0.03052475585178303,116.09864191675778,2.625431414108182,0.08014065292125372,0.9428141194780909,0.0020920738851711662
7,107266555.54687595,651848728.6096835,1650039.5454972535,166057842.8447008,439012148.39497375,4969033013.05751,3859090942.075001,11.868489493313959,3859090942.075001,0.3765476016098752,0.003735189399286902,0.37514635890690506,0.021587008028524538,100.63870487095379,2.560244694513131,0.055268022775442315,1.1037398860858239,0.0014079054164633197
8,37206724.137797356,255270967.57277107,285106.9233479351,54455378.36440563,64672194.878852844,2391995141.2332535,3859090942.074997,12.06569851915391,3859090942.074997,0.19720902583995148,0.12716556137476961,0.17496012351497114,0.015554682154836857,190.9998456892963,2.8079378760167133,0.043676581171967675,0.7620289122626128,0.0005216131715752113
9,205547438.6084795,365646692.377985,4006776.3484705687,398211282.4687195,602418645.7521553,8222853157.971207,3859090942.0750046,12.817856199313114,3859090942.0750046,0.752157680159204,0.42475022093640746,0.5279224871183761,0.024997094640954703,99.38445469279092,2.5542342815953414,0.06384843607220969,1.3206647967036098,0.002429432308079799
10,1642744425.764676,745765668.978157,35978793.22528975,2031474310.4219017,9660783617.264057,7993579593.568642,3859090942.074997,13.276348888230922,3859090942.074997,0.4584926889178078,0.11248411571712023,0.41213414415562966,0.20550798381820976,56.46310307578533,2.234304474044407,0.4591674076968717,0.5317869832380585,0.027943954078541534
11,1740785012.8682623,765665598.2258301,38199090.29722747,2118839254.4807024,9972516821.521736,8093730923.819038,3859090942.074997,13.74051578396578,3859090942.074997,0.4641668957348575,0.10075139016416397,0.42168186193762836,0.21507819190594865,55.46831712467482,2.222743006861513,0.47806354698736586,0.53110136497875,0.028996659056003793
12,1833247196.0288324,770402939.1892824,40652060.7379002,2249691201.925638,10474762901.001846,8186164205.069809,3859090942.0750046,14.210098082942014,3859090942.0750046,0.4695822989762348,0.10312656370341199,0.42568306704514036,0.22394459115460646,55.34015154681287,2.2212321243432465,0.4974329199455263,0.5556475287433351,0.030568635491998206
13,1870694279.8157177,766537282.1400442,41568075.5963006,2281189388.4275074,10758334417.227455,8206257040.791122,3859090942.074997,14.680755057883376,3859090942.074997,0.4706569749413614,0.10627580408373768,0.42544270895554703,0.2279595034029514,54.87839780176219,2.215747532532487,0.5051007071824206,0.5588301116404494,0.0312750992413648
14,1813403505.9420547,767335572.329092,40045555.498716176,2215881480.5573254,9970902288.061523,8136525863.261688,3859090942.0750046,15.14747198776516,3859090942.0750046,0.4667169298817839,0.10372147074941476,0.4228575254270339,0.22287196481854676,55.33401779451816,2.2211596926154074,0.4950342248689552,0.5556475287433351,0.03031378185723081
15,1911758155.2245445,768078040.610178,41791029.4987973,2328718169.256794,10917939234.269287,8241315667.749939,3859090942.074997,15.620168339205748,3859090942.074997,0.47269635144058775,0.10243386188184905,0.4287752470100088,0.23197244618425067,55.722919420394085,2.225729809941978,0.516307988557448,0.5471552871436054,0.031198464992004356
